scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_us,Bd_base,ratio_Bd,ev_us,ev_base,deaths_averted_us,deaths_averted_base,pct_of_portfolio_ev_us,portfolio_view
A_screening_only,True,base,10,Avian-influenza-like respiratory virus,0.01,0.15,269556829387.96082,8903850398.089415,30.274186709808404,404335244.08194125,13355775.597134123,75910.59785770126,2507.4045917391877,63.77670186325506,A_screening_only_with_avian
A_screening_only,True,base,10,Ebola-like viral haemorrhagic fever,0.005,0.2,41594103871.68938,1386435750.2052023,30.00074389709956,41594103.87168938,1386435.7502052023,11779.018443196537,392.6241918663443,6.560730979356334,A_screening_only_with_avian
A_screening_only,True,base,10,Mpox-like orthopoxvirus,0.02,0.2,12798770222.608719,426595472.0427035,30.002123935641592,51195080.890434876,1706381.8881708141,3597.530187209947,119.90919447050297,8.07511454567341,A_screening_only_with_avian
A_screening_only,True,base,10,High-burden enteric outbreak,0.1,0.2,2028829347.4601345,56175592.903420955,36.11585107696449,40576586.9492027,1123511.8580684194,250.14515752394777,6.966731638186481,6.400235760707775,A_screening_only_with_avian
A_screening_only,True,base,14,SARS-like respiratory virus,0.02,0.2,28171013575.432796,937837818.2255151,30.038257178341592,112684054.30173118,3751351.2729020608,7778.8225974114175,258.964418396031,16.18684955509801,A_screening_only_with_avian
A_screening_only,True,base,14,Avian-influenza-like respiratory virus,0.01,0.15,284212383011.1994,9385419840.594383,30.28233023544742,426318574.5167991,14078129.760891575,80043.40171207923,2643.205284226903,61.23985040305077,A_screening_only_with_avian
A_screening_only,True,base,14,Ebola-like viral haemorrhagic fever,0.005,0.2,51964104510.632935,1732088540.6025465,30.000836153881625,51964104.51063293,1732088.5406025464,14718.435048108924,490.60080317059226,7.464544537301785,A_screening_only_with_avian
A_screening_only,True,base,14,Mpox-like orthopoxvirus,0.02,0.2,16163476730.378876,538739647.234667,30.00238949062961,64653906.9215155,2154958.588938668,4545.655692823492,151.50981231676363,9.2874104590307,A_screening_only_with_avian
A_screening_only,True,base,14,High-burden enteric outbreak,0.1,0.2,2026252109.731101,55967073.64774212,36.20436048674569,40525042.194622025,1119341.4729548427,252.71061018496528,7.037563658567738,5.821345045518724,A_screening_only_with_avian
A_screening_only,True,high,2,SARS-like respiratory virus,0.05,0.4,7208721180.625837,240136917.41750735,30.01921261482921,144174423.61251676,4802738.348350148,1987.9112833678712,66.22130191598262,8.612031729989594,A_screening_only_with_avian
A_screening_only,True,high,2,Avian-influenza-like respiratory virus,0.03,0.35,117847571889.17776,3904122779.469406,30.185416429243027,1237399504.8363664,40993289.18442876,33184.38772879105,1099.3408976633266,73.91410717177325,A_screening_only_with_avian
A_screening_only,True,high,2,Ebola-like viral haemorrhagic fever,0.02,0.4,10554186674.895939,351801365.43947506,30.000414187453494,84433493.39916751,2814410.9235158004,2987.8590410958714,99.59392137991804,5.043501517174571,A_screening_only_with_avian
A_screening_only,True,high,2,Mpox-like orthopoxvirus,0.05,0.4,3163721997.596113,105453196.17316249,30.001195908761566,63274439.951922275,2109063.92346325,888.4595953531307,29.614138187233756,3.7795988422177227,A_screening_only_with_avian
A_screening_only,True,high,2,High-burden enteric outbreak,0.25,0.4,1448227877.504879,40533645.990222424,35.7290305899011,144822787.7504879,4053364.5990222427,174.8680917801579,4.901952291033176,8.650760738844879,A_screening_only_with_avian
A_screening_only,True,high,5,SARS-like respiratory virus,0.05,0.4,15376104197.0831,512072967.3061444,30.027174209120957,307522083.9416621,10241459.34612289,4241.401743433187,141.2521832429569,10.070426116144398,A_screening_only_with_avian
A_screening_only,True,high,5,Avian-influenza-like respiratory virus,0.03,0.35,211137677487.59918,6981924842.150679,30.240611616575542,2216945613.619791,73310210.84258212,59454.942875154826,1966.0392559068287,72.5983211329426,A_screening_only_with_avian
A_screening_only,True,high,5,Ebola-like viral haemorrhagic fever,0.02,0.4,24093457353.387283,803100113.2425077,30.000565254698095,192747658.82709828,6424800.905940061,6821.576092350386,227.38157361756018,6.311907855197562,A_screening_only_with_avian
A_screening_only,True,high,5,Mpox-like orthopoxvirus,0.05,0.4,7298633230.114721,243274658.64189813,30.001617393525386,145972664.60229445,4865493.172837963,2050.3200569654364,68.34031811474293,4.780167053410701,A_screening_only_with_avian
A_screening_only,True,high,5,High-burden enteric outbreak,0.25,0.4,1905266917.2283173,52976298.698916554,35.96451552904134,190526691.72283173,5297629.869891656,231.75554922550896,6.463851949066473,6.239177842304744,A_screening_only_with_avian
A_screening_only,True,high,10,SARS-like respiratory virus,0.05,0.4,24071200191.34854,801437536.7310243,30.03502966623241,481424003.82697093,16028750.73462049,6643.490041134066,221.1917080288843,11.73237143419816,A_screening_only_with_avian
A_screening_only,True,high,10,Avian-influenza-like respiratory virus,0.03,0.35,269556829387.96082,8903850398.089415,30.274186709808404,2830346708.5735884,93490429.17993884,75910.59785770126,2507.4045917391877,68.97595177759437,A_screening_only_with_avian
A_screening_only,True,high,10,Ebola-like viral haemorrhagic fever,0.02,0.4,41594103871.68938,1386435750.2052023,30.00074389709956,332752830.97351503,11091486.001641618,11779.018443196537,392.6241918663443,8.109233809964678,A_screening_only_with_avian
