pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,15,496820393.8074452,1059379566.6199617,562559172.8125165,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,25,496820393.8074452,1059523733.284205,562703339.4767597,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,40,496820393.8074452,1059739983.2805705,562919589.4731252,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,60,496820393.8074452,1060028316.6090585,563207922.8016133,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,100,496820393.8074452,1060604983.2660313,563784589.458586,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.3,150,496820393.8074452,1061325816.5872493,564505422.779804,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.35,10,496820393.8074452,1019020816.6879625,522200422.8805173,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.35,15,496820393.8074452,1019092900.0200859,522272506.2126407,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.35,25,496820393.8074452,1019237066.6843283,522416672.8768831,False
SARS-CoV-2,0.5x,RAT,0.005,0.75,250,365,10000,0.15,7,0.35,40,496820393.8074452,1019453316.6806934,522632922.87324816,False
